282,5 5 5 7 7,FH
283,5 5 5 6 6,FH
284,5 5 5 4 4,FH
285,5 5 5 3 3,FH
286,5 5 5 2 2,FH
287,4 4 4 A A,FH
288,4 4 4 K K,FH
289,4 4 4 Q Q,FH
290,4 4 4 J J,FH
291,4 4 4 T T,FH
292,4 4 4 9 9,FH
293,4 4 4 8 8,FH
294,4 4 4 7 7,FH
295,4 4 4 6 6,FH
296,4 4 4 5 5,FH
297,4 4 4 3 3,FH
298,4 4 4 2 2,FH
299,3 3 3 A A,FH
300,3 3 3 K K,FH
301,3 3 3 Q Q,FH
302,3 3 3 J J,FH
303,3 3 3 T T,FH
304,3 3 3 9 9,FH
305,3 3 3 8 8,FH
306,3 3 3 7 7,FH
307,3 3 3 6 6,FH
308,3 3 3 5 5,FH
309,3 3 3 4 4,FH
310,3 3 3 2 2,FH
311,2 2 2 A A,FH
312,2 2 2 K K,FH
313,2 2 2 Q Q,FH
314,2 2 2 J J,FH
315,2 2 2 T T,FH
316,2 2 2 9 9,FH
317,2 2 2 8 8,FH
318,2 2 2 7 7,FH
319,2 2 2 6 6,FH
320,2 2 2 5 5,FH
321,2 2 2 4 4,FH
322,2 2 2 3 3,FH
323,A K Q J 9,F
324,A K Q J 8,F
325,A K Q J 7,F
326,A K Q J 6,F
327,A K Q J 5,F
328,A K Q J 4,F
329,A K Q J 3,F
330,A K Q J 2,F
331,A K Q T 9,F
332,A K Q T 8,F
333,A K Q T 7,F
334,A K Q T 6,F
335,A K Q T 5,F
336,A K Q T 4,F
337,A K Q T 3,F
338,A K Q T 2,F
339,A K Q 9 8,F
340,A K Q 9 7,F
341,A K Q 9 6,F
342,A K Q 9 5,F
343,A K Q 9 4,F
344,A K Q 9 3,F
345,A K Q 9 2,F
346,A K Q 8 7,F
347,A K Q 8 6,F
348,A K Q 8 5,F
349,A K Q 8 4,F
350,A K Q 8 3,F
351,A K Q 8 2,F
352,A K Q 7 6,F
353,A K Q 7 5,F
354,A K Q 7 4,F
355,A K Q 7 3,F
356,A K Q 7 2,F
357,A K Q 6 5,F
358,A K Q 6 4,F
359,A K Q 6 3,F
360,A K Q 6 2,F
361,A K Q 5 4,F
362,A K Q 5 3,F
363,A K Q 5 2,F
364,A K Q 4 3,F
365,A K Q 4 2,F
366,A K Q 3 2,F
367,A K J T 9,F
368,A K J T 8,F
369,A K J T 7,F
370,A K J T 6,F
371,A K J T 5,F
372,A K J T 4,F
373,A K J T 3,F
374,A K J T 2,F
375,A K J 9 8,F
376,A K J 9 7,F
377,A K J 9 6,F
378,A K J 9 5,F
379,A K J 9 4,F
380,A K J 9 3,F
381,A K J 9 2,F
382,A K J 8 7,F
383,A K J 8 6,F
384,A K J 8 5,F
385,A K J 8 4,F
386,A K J 8 3,F
387,A K J 8 2,F
388,A K J 7 6,F
389,A K J 7 5,F
390,A K J 7 4,F
391,A K J 7 3,F
392,A K J 7 2,F
393,A K J 6 5,F
394,A K J 6 4,F
395,A K J 6 3,F
396,A K J 6 2,F
397,A K J 5 4,F
398,A K J 5 3,F
399,A K J 5 2,F
400,A K J 4 3,F
401,A K J 4 2,F
402,A K J 3 2,F
403,A K T 9 8,F
404,A K T 9 7,F
405,A K T 9 6,F
406,A K T 9 5,F
407,A K T 9 4,F
408,A K T 9 3,F
409,A K T 9 2,F
410,A K T 8 7,F
411,A K T 8 6,F
412,A K T 8 5,F
413,A K T 8 4,F
414,A K T 8 3,F
415,A K T 8 2,F
416,A K T 7 6,F
417,A K T 7 5,F
418,A K T 7 4,F
